"unitid","institution name","year","IC2016_AY.Out-of-state average tuition for full-time undergraduates","IC2016_AY.Out-of-state required fees for full-time undergraduates","IC2016_AY.Out-of-state average tuition full-time graduates","IC2016_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2016","45600","1404","34200","1016"
"167358","Northeastern University","2016","46720","933","22633","280"
"186867","Stevens Institute of Technology","2016","47134","1704","33328","1186"
"190044","Clarkson University","2016","45132","1000","29286","650"
"194824","Rensselaer Polytechnic Institute","2016","49520","1277","49520","2617"
"197708","Yeshiva University","2016","39070","1600","19800","225"
