"unitid","institution name","year","IC2021_AY.Out-of-state average tuition for full-time undergraduates","IC2021_AY.Out-of-state required fees for full-time undergraduates","IC2021_AY.Out-of-state average tuition full-time graduates","IC2021_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2021","53112","1648","39834","1202"
"167358","Northeastern University","2021","56500","1092","25801","294"
"186867","Stevens Institute of Technology","2021","54780","2140","38076","1480"
"190044","Clarkson University","2021","53100","1270","35712","760"
"194824","Rensselaer Polytechnic Institute","2021","57100","1426","57100","2926"
"197708","Yeshiva University","2021","44300","3200","34800","350"
