"unitid","institution name","year","IC2023_AY.Out-of-state average tuition for full-time undergraduates","IC2023_AY.Out-of-state required fees for full-time undergraduates","IC2023_AY.Out-of-state average tuition full-time graduates","IC2023_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2023","58104","1822","43578","1280"
"167358","Northeastern University","2023","62000","1141","27728","372"
"186867","Stevens Institute of Technology","2023","58680","2272","41380","1608"
"190044","Clarkson University","2023","56642","1308","36000","856"
"194824","Rensselaer Polytechnic Institute","2023","60360","1524","60360","1513"
"197708","Yeshiva University","2023","46000","3900","34800","350"
