"unitid","institution name","year","IC2017_AY.Out-of-state average tuition for full-time undergraduates","IC2017_AY.Out-of-state required fees for full-time undergraduates","IC2017_AY.Out-of-state average tuition full-time graduates","IC2017_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2017","47040","1444","35280","1052"
"167358","Northeastern University","2017","48560","937","23408","280"
"186867","Stevens Institute of Technology","2017","48784","1770","34494","1222"
"190044","Clarkson University","2017","46700","1250","32280","900"
"194824","Rensselaer Polytechnic Institute","2017","51000","1305","51000","2757"
"197708","Yeshiva University","2017","40000","2000","34800","260"
