"unitid","institution name","year","IC2022_AY.Out-of-state average tuition for full-time undergraduates","IC2022_AY.Out-of-state required fees for full-time undergraduates","IC2022_AY.Out-of-state average tuition full-time graduates","IC2022_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2022","55440","1754","41580","1236"
"167358","Northeastern University","2022","59100","1092","26715","294"
"186867","Stevens Institute of Technology","2022","56424","2200","39408","1532"
"190044","Clarkson University","2022","54960","1298","36792","778"
"194824","Rensselaer Polytechnic Institute","2022","58600","1474","58600","3073"
"197708","Yeshiva University","2022","45200","3600","34800","350"
