"unitid","institution name","year","IC2015_AY.Out-of-state average tuition for full-time undergraduates","IC2015_AY.Out-of-state required fees for full-time undergraduates","IC2015_AY.Out-of-state average tuition full-time graduates","IC2015_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2015","44400","1324","33300","948"
"167358","Northeastern University","2015","44620","910","21801","260"
"186867","Stevens Institute of Technology","2015","45540","1650","32200","1150"
"190044","Clarkson University","2015","43690","940","34968","590"
"194824","Rensselaer Polytechnic Institute","2015","48100","1241","48100","2339"
"197708","Yeshiva University","2015","37930","1600","19800","188"
