"unitid","institution name","year","IC2019_AY.Out-of-state average tuition for full-time undergraduates","IC2019_AY.Out-of-state required fees for full-time undergraduates","IC2019_AY.Out-of-state average tuition full-time graduates","IC2019_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2019","50400","1530","37800","1108"
"167358","Northeastern University","2019","52420","1086","24793","292"
"186867","Stevens Institute of Technology","2019","52134","1880","36680","1310"
"190044","Clarkson University","2019","49858","1270","33312","900"
"194824","Rensselaer Polytechnic Institute","2019","54000","1378","54000","2708"
"197708","Yeshiva University","2019","42200","2700","34800","300"
