"unitid","institution name","year","IC2018_AY.Out-of-state average tuition for full-time undergraduates","IC2018_AY.Out-of-state required fees for full-time undergraduates","IC2018_AY.Out-of-state average tuition full-time graduates","IC2018_AY.Out-of-state required fees for full-time graduates"
"135726","University of Miami","2018","48720","1506","36540","1084"
"167358","Northeastern University","2018","50450","1072","24027","282"
"186867","Stevens Institute of Technology","2018","50370","1832","35960","1290"
"190044","Clarkson University","2018","48194","1250","33312","900"
"194824","Rensselaer Polytechnic Institute","2018","52550","1330","52550","2890"
"197708","Yeshiva University","2018","41000","2500","34800","300"
